"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCD1",204.347321851802,-0.317026531491187,0.0857578248784302,-3.69676507001667,0.000218364244148975,0.000343864156116571
"ABCD2",28.226294475495,-0.674872093300817,0.132409250064379,-5.09686515838348,3.45324114187394e-07,6.70903709826928e-07
"ABCD3",1518.00076416327,-0.0294248791828744,0.0525057528716856,-0.560412480034014,0.575198121040795,0.610807845214447
"ABCD4",401.0021618103,-0.0484669890095181,0.0390430856882555,-1.24137188839297,0.214468399047411,0.24554968854443
"ABCE1",1508.57200669299,0.713065546155344,0.0743060287987865,9.59633501726026,8.28376594539256e-22,3.43162124377789e-21
"ABCF1",1820.53369726556,0.280929901250591,0.0313881671912831,8.95018493875644,3.54887281766775e-19,1.3131096861152e-18
"ABCF2",1399.79763757728,0.766326228804687,0.0396831681580398,19.3111151244972,4.33119308728121e-83,1.13875009684341e-81
"ABCF3",978.463100282862,0.0713211492933235,0.0460923934012977,1.54735183031991,0.121778429918674,0.144408387375314
"ABCG1",815.665079863588,0.717486236841902,0.0654456582385644,10.9630838187386,5.75057799303945e-28,3.05742695677571e-27
"ABCG2",51.6128583587869,0.00390581732893081,0.0689420239995795,0.056653650449175,0.954821096258705,0.960690898079967
"ABCG4",124.664119806511,4.67502842666678,0.128922552859187,36.2623010713492,6.35942668395145e-288,3.20254205314888e-285
"ABHD1",5.32625770636903,-0.83332699768809,0.143931369001507,-5.78975245958623,7.04902324925041e-09,1.52402924499426e-08
"ABHD10",349.114926717954,-0.488200011806941,0.0394886997230581,-12.363030822255,4.14238549551714e-35,2.86769302544789e-34
"ABHD11",193.331477739888,-0.576169895858745,0.0525455291870344,-10.9651554522913,5.62038859091994e-28,2.98901792379278e-27
"ABHD12",1085.56879524864,-0.251010594012583,0.0504590070564889,-4.97454485641337,6.54011193959686e-07,1.24585643543824e-06
"ABHD12B",366.866841003423,-1.63985266746733,0.108224196105125,-15.1523663513696,7.30869454118085e-52,8.69956125992678e-51
"ABHD13",370.04623872213,0.194159252810456,0.0651829883856055,2.97867983072303,0.00289493097995195,0.0041239170556507
"ABHD14A",154.5648508797,-0.679437164159021,0.0721265684354897,-9.42006779050791,4.50796883269074e-21,1.80982231958394e-20
"ABHD14A-ACY1",7.4911710777452,0.219324264048045,1.02363702584631,0.21425979962645,0.830344465301712,0.848842665965314
"ABHD14B",926.95550109653,-0.470924640437677,0.0558792770835039,-8.42753637871772,3.53018551191331e-17,1.19169548734922e-16
"ABHD15",243.594384305287,-0.291643344995809,0.0373151896817074,-7.81567365685341,5.46698481997475e-15,1.65314213801854e-14
"ABHD16A",600.643413997185,0.131012560707097,0.05350183678832,2.44874883876321,0.0143353370741032,0.0190015536299782
"ABHD16B",75.9371218070838,0.932115847968604,0.113271805517756,8.22901907238061,1.88752727302652e-16,6.13860500782262e-16
"ABHD17A",1141.05944295855,0.0372257162361751,0.108970497801212,0.341612794171901,0.732642307513503,0.759760014761349
"ABHD17B",498.46964324616,0.413751164233949,0.0532506249297247,7.7698837296272,7.85582033143698e-15,2.36131483485495e-14
"ABHD17C",675.155491659797,1.33013057086212,0.0547750213398223,24.2835244665637,2.92707515845683e-130,1.81923278835735e-128
"ABHD2",2988.09820859829,-0.416998829758288,0.0432897786630888,-9.63273185117583,5.81622426489497e-22,2.42579410835713e-21
"ABHD3",137.943004295617,0.0496913540072958,0.0704564440744438,0.705277631593106,0.480637477898831,0.518551970222646
"ABHD4",617.013276549228,0.127603764043468,0.0457190804005982,2.79103960371432,0.00525390432777711,0.00728719498570215
"ABHD5",1821.63859890834,-0.445068323402658,0.0813816462381916,-5.4689029280633,4.52829653241517e-08,9.32338231435518e-08
"ABHD6",466.515215552086,-0.838687998652411,0.0571860328176818,-14.6659587547589,1.06502105021785e-48,1.15755469984939e-47
"ABHD8",256.357622044157,0.000296169749714303,0.0877259167213815,0.00337608041936959,0.997306282674486,0.997611051834924
"ABI1",2273.55337200112,0.203321627799729,0.0306613547195815,6.63120170844508,3.32964854836636e-11,8.24956446195476e-11
"ABI2",644.251782983217,-0.390008177695193,0.0473728247557888,-8.23274059982111,1.82978142788464e-16,5.9557353734926e-16
"ABI3",127.341834470647,0.403095452158372,0.0785201806164717,5.13365416372733,2.84170056515827e-07,5.5538858692117e-07
"ABI3BP",1953.79582495644,-0.748685600070178,0.100707324579151,-7.43427157060209,1.05145756509776e-13,2.96875022692926e-13
"ABL1",1985.94879211276,-0.131119002747763,0.0547330260073016,-2.39561033461353,0.0165927195054902,0.021836036658257
"ABL2",693.515704367862,0.0330364987749753,0.055274194327846,0.597683949566537,0.550050837055635,0.586481999987659
"ABLIM1",10219.0334927082,-0.0616886915856493,0.0388685620129435,-1.58711020914812,0.112487686071187,0.134059092298967
"ABLIM2",215.387222396035,-0.974402018717358,0.0813475365711277,-11.9782609257672,4.61911756246799e-33,2.97343392090696e-32
