"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARSF",414.438293861428,3.60938499911367,0.104012004828946,34.7016193472044,7.44740371869174e-264,2.75975488745483e-261
"ASF1B",186.456385610974,1.43507374753214,0.0742900484469828,19.3171733971379,3.85172338820441e-83,1.01540734690382e-81
"ASPG",230.143369199982,1.88038090380281,0.113387440493876,16.5836788943513,9.14547224408372e-62,1.45793080254711e-60
"ASPHD1",9.91536354554038,1.11667059730623,0.107585113162467,10.3794155574287,3.07652777564714e-25,1.47661303796945e-24
"ASPM",351.716904285303,1.76617885680079,0.0963267738531828,18.3352850526555,4.32742000061518e-75,9.5710054968561e-74
"ATP10B",998.447351097226,1.8445653837002,0.0653405688682187,28.2300172105998,2.50434523457642e-175,2.91037517201662e-173
"ATP12A",2697.17551828186,4.05833251545189,0.163567012580545,24.811436312401,6.74750492900432e-136,4.6662322818889e-134
"ATP1B1",3748.45439977582,1.05584340214856,0.095635143664603,11.0403284994422,2.44138964880339e-28,1.32017876383531e-27
"ATP5L2",3.25376136011916,1.11922140995448,0.230532389609796,4.85494212699956,1.20421907156542e-06,2.2498917965701e-06
"ATP6V0D2",3.26462904574994,2.19176587622503,0.285880295185621,7.66672594486416,1.7644221571481e-14,5.21415154474701e-14
"ATP6V1C2",1543.57924259338,1.2661145170259,0.080079833342818,15.8106537460652,2.62726342986029e-56,3.5610389070018e-55
"AUNIP",41.8105204989247,1.9941902427243,0.0747729709041511,26.6699345847925,1.05110279350007e-156,9.38348130197335e-155
"AURKA",144.499876250531,2.02042813779961,0.0727089320368889,27.7878945708424,6.07535696599776e-170,6.59226579072907e-168
"AURKB",167.725674170963,1.63528613213762,0.078097755361567,20.9389645652014,2.36544089279208e-97,8.40095101888542e-96
"AZGP1P1",68.1281857424257,1.40102674351015,0.102809552515345,13.6273985172831,2.75217304104959e-42,2.39171143921301e-41
"B3GNT3",121.333093462665,1.36180128182944,0.133342429988455,10.2128128454487,1.73753373343139e-24,8.07887370373876e-24
"B4GALNT2",58.1964660596156,1.83125846109358,0.139127604262715,13.1624379705095,1.44351692331456e-39,1.1566981792696e-38
"BAK1",779.290896152994,1.23887610366753,0.069847442748323,17.7368856313251,2.17669790542671e-70,4.35339581085341e-69
"BATF",65.9349619221046,1.11310990109488,0.0951018233540708,11.7044012600126,1.21010382591465e-31,7.4339815892911e-31
"BATF2",68.7351685388386,3.08715905166232,0.137058335664205,22.524416604809,2.3929000890319e-112,1.11630778500205e-110
"BCL2A1",49.767270441258,2.71257178537402,0.124323665402019,21.8186278260258,1.5442363622585e-105,6.34493768927968e-104
"BCL2L14",7.09688901454939,2.5191940391889,0.163924088681981,15.368052733703,2.68106768432022e-53,3.35176125525456e-52
"BCL3",736.955445203685,1.33330330659953,0.0895773735829817,14.884375967603,4.16353023179423e-50,4.69952492830108e-49
"BIK",45.4462520327987,1.391076950008,0.0952018711917431,14.6118656345133,2.3596668826311e-48,2.53522196799096e-47
"BIRC3",493.080337729394,1.44320631420906,0.0917467972374763,15.7303181981763,9.37388193874591e-56,1.25240164133993e-54
"BIRC5",321.029973940004,1.77077257114461,0.0695914251808362,25.4452695363427,7.96404972537125e-143,5.94729796982096e-141
